buildingID;x;y;totalArea;floors
40964;1811658;238270;129;1
49162;1148956;194238;876;1
57356;683596;1257545;500;1
57358;657794;1270839;801;1
24591;1828352;222217;163;1
57359;681466;1288068;468;1
57362;679028;1317517;501;1
57364;653285;1330931;805;1
32789;916296;933096;822;1
57365;677078;1348031;463;1
57371;675634;1519691;672;3
57372;687485;1530151;160;1
40993;620571;1002478;666;1
57378;322702;689245;326;1
49187;185655;1469894;654;1
57379;310171;661493;659;1
24616;2091105;517323;1159;1
57389;352703;734949;723;1
57391;321878;739558;779;1
57392;327326;724458;92;1
57394;359744;704542;339;1
57395;343249;706893;109;1
57406;239584;700911;379;1
24640;1529105;1587737;206;1
41024;1674140;980502;709;1
57408;218777;679263;817;1
57409;248471;672598;390;1
32855;723191;576790;1818;1
57431;1185759;466708;173;1
41049;395022;1349780;3111;3
49241;888822;587524;978;1
57434;1200746;458556;760;2
57435;1187788;446995;160;1
57444;1248231;547571;264;2
57447;1250013;534911;91;1
57448;1238752;536957;115;1
57449;1693972;897702;445;1
57450;1729977;900529;717;1
41072;1804669;317790;386;1
49264;1120159;474787;429;1
32888;1476507;1523180;324;1
24722;1160402;873385;1404;1
32926;773475;853199;1906;1
24745;1177541;212113;572;1
41134;904131;782439;1329;1
49336;1909738;693986;969;1
41159;1600895;852687;4608;3
41198;1612723;565852;589;1
33010;621343;1196090;927;1
24846;950705;141080;691;1
33041;788637;1310659;2430;1
49443;1192223;1040843;1842;1
41254;1451287;321990;4980;3
57645;1787749;503832;691;1
57647;673797;1004394;663;1
57657;2093130;1535431;201;1
49466;746575;1207730;1611;3
57659;2062574;1497973;191;1
57660;2081335;1514505;333;1
57662;2100564;1438891;209;1
57663;2082023;1417278;410;1
57665;2044026;1463956;1029;3
57666;2070181;1474209;217;1
57669;2054049;898416;251;1
57670;2039872;907166;273;1
57672;2091619;465054;791;1
57673;2100387;481343;132;1
57675;2117629;410169;636;1
57676;2129336;425220;94;1
57678;1826495;237636;288;1
57679;1843995;236771;117;1
57685;1820465;289813;99;1
57688;1572833;361019;1191;3
57689;1593934;323153;1104;1
57691;1357927;69791;721;1
57692;1390002;45380;1787;1
41320;910313;298734;2264;1
33129;869321;680615;997;1
57711;616325;558771;97;1
57712;625553;547969;190;1
57718;464537;617057;230;1
57725;450971;612990;178;1
57726;437714;617822;238;1
41346;1081615;1408149;220;1
24964;2087784;341080;864;1
57736;317810;951371;782;2
57738;282014;949308;1188;1
57739;248441;946688;1017;3
41373;1989429;599285;1269;1
57757;1015973;782392;106;1
57758;1028982;778136;216;1
57762;781231;370617;636;2
33187;1143667;1299699;305;1
57764;765451;389615;1111;1
57765;753091;367248;288;1
49579;845977;743405;1041;1
57774;1395789;656339;1356;1
57775;1370947;663542;621;3
57781;1805291;276044;568;1
57782;1802961;250127;795;3
57783;1963008;158025;1067;1
33214;1442674;229662;1074;1
49602;2049242;429989;409;1
33239;2004036;175712;774;1
49625;1292329;492509;133;1
57823;2067759;853311;660;1
49652;1703189;298788;4038;1
49683;1180920;174352;1562;1
33300;67744;995108;3726;3
25118;732769;876663;537;1
49704;2014472;1388671;267;1
33323;1567696;147566;851;1
25174;460370;1605163;1569;1
49807;1483815;1561247;598;1
25233;815295;1359526;584;1
49834;805746;430339;445;1
25260;1564760;190726;5925;3
49857;1005329;159633;1456;2
41673;1220768;732832;651;1
33485;320660;1449599;646;1
25299;330124;1564538;1530;2
41700;726471;1349551;633;1
25322;497655;569316;567;3
33514;955963;273854;3379;1
49915;605516;1279230;597;1
33547;853564;1291023;564;1
25366;1043182;1375315;3012;3
49946;1119087;941745;797;1
33578;621162;1144588;399;1
25397;549131;569809;1448;2
33601;826807;44042;1565;1
41817;723346;820890;768;1
41840;276399;1221071;417;1
25459;1858330;707207;537;1
33659;979994;539087;531;1
50046;459693;417052;762;1
41863;2043611;13616;999;3
25488;1844202;220204;272;1
33684;1544581;509852;682;1
50073;2066539;678647;1176;1
25511;908755;643046;2742;2
50098;332563;550630;337;1
41923;1211850;749857;234;1
25542;929402;1106177;527;1
50121;873202;780083;1182;1
33738;1876765;683062;708;1
33759;2090800;1481181;270;1
33788;356562;674277;1003;1
25600;721557;378678;760;1
41985;530413;1211817;780;1
50181;1755440;84566;441;1
33815;1610196;604270;1101;1
42010;993956;289282;841;1
42037;1772139;1429241;1656;1
33848;442431;846634;636;1
25658;1314502;815289;4505;1
33879;1539221;655891;2030;1
50264;2019173;101349;1762;2
25710;1684408;860166;535;1
25768;1512690;833072;270;1
42153;1880876;170277;1408;1
33980;689599;253821;1292;1
34003;1485425;805951;1690;1
42199;776937;655618;3521;1
25846;1108310;1135017;655;1
42253;1132559;548454;430;1
25883;1589731;1385157;3106;1
42280;687452;875139;460;1
34094;1176041;228548;415;1
25910;1117858;1027427;852;1
34121;720325;426152;597;1
34150;1126373;1344710;1334;1
50534;616710;934322;3304;1
25980;1892312;662748;498;1
50580;1870694;244765;300;1
42401;467023;1326231;644;1
50605;1235691;649106;821;1
50628;358742;1340418;873;1
42440;989870;739198;360;1
50657;155298;1446921;1711;1
34289;658248;1431697;694;1
26099;1716622;521736;5532;3
50688;1613070;187306;2404;1
26124;2146285;101542;789;1
34322;1532191;333578;545;1
50713;182228;803730;383;1
42529;1478171;911089;782;1
34345;553759;1272194;767;1
50736;1858919;275417;315;1
26161;1486433;1258632;5864;1
34368;1823703;151679;174;1
50767;1204485;1153614;8211;1
26207;1885268;384626;609;1
34399;1881294;956130;496;2
50798;1902595;1412388;1605;1
34426;1572504;592979;351;1
50821;1863023;218253;465;3
34453;1459974;470967;1104;1
26269;888114;1350801;812;1
50850;920828;1027528;1315;1
42695;810890;1436298;3065;1
26329;923992;551549;1237;1
50910;1484861;493129;714;1
42745;2150603;507970;280;1
34587;358281;1295587;1956;1
42813;668115;555419;956;1
34649;2067128;534412;469;1
26473;1801857;151225;762;1
51088;755204;934442;3854;2
26534;942264;974576;1929;1
42924;334244;301283;634;1
26560;1650009;237444;1111;1
42955;779152;581060;1867;1
34775;1512471;926923;512;1
